PAR,time,acc,Rep,lw,gs,Induction
1500,680,rice142,4,1.3,0.38797,
1500,690,rice142,4,1.3,0.39051,
1500,700,rice142,4,1.3,0.39064,
1500,710,rice142,4,1.3,0.38838,
1500,720,rice142,4,1.3,0.38653,
1500,730,rice142,4,1.3,0.37356,
1500,740,rice142,4,1.3,0.38202,
1500,750,rice142,4,1.3,0.38321,
1500,760,rice142,4,1.3,0.38337,
1500,770,rice142,4,1.3,0.38318,
1500,780,rice142,4,1.3,0.38138,
1500,790,rice142,4,1.3,0.36771,
1500,800,rice142,4,1.3,0.37384,
1500,810,rice142,4,1.3,0.37686,
1500,820,rice142,4,1.3,0.37675,
1500,830,rice142,4,1.3,0.37607,
1500,840,rice142,4,1.3,0.37453,
1500,850,rice142,4,1.3,0.36059,
1500,860,rice142,4,1.3,0.36781,
1500,870,rice142,4,1.3,0.3702,
1500,880,rice142,4,1.3,0.36939,
1500,890,rice142,4,1.3,0.36867,
1500,900,rice142,4,1.3,0.36873,
100,910,rice142,4,1.3,0.39432,
100,920,rice142,4,1.3,0.36387,
100,930,rice142,4,1.3,0.35473,
100,940,rice142,4,1.3,0.35062,
100,950,rice142,4,1.3,0.34673,
100,960,rice142,4,1.3,0.33921,
100,970,rice142,4,1.3,0.33718,
100,980,rice142,4,1.3,0.32127,
100,990,rice142,4,1.3,0.31049,
100,1000,rice142,4,1.3,0.30421,
100,1010,rice142,4,1.3,0.29691,
100,1020,rice142,4,1.3,0.28918,
100,1030,rice142,4,1.3,0.28982,
100,1040,rice142,4,1.3,0.27391,
100,1050,rice142,4,1.3,0.26891,
100,1060,rice142,4,1.3,0.25998,
100,1070,rice142,4,1.3,0.2514,
100,1080,rice142,4,1.3,0.24348,
100,1090,rice142,4,1.3,0.23601,
100,1100,rice142,4,1.3,0.22025,
100,1110,rice142,4,1.3,0.2062,
100,1120,rice142,4,1.3,0.19712,
100,1130,rice142,4,1.3,0.18479,
100,1140,rice142,4,1.3,0.17402,
100,1150,rice142,4,1.3,0.16226,
100,1160,rice142,4,1.3,0.14797,
100,1170,rice142,4,1.3,0.13683,
100,1180,rice142,4,1.3,0.12741,
100,1190,rice142,4,1.3,0.11766,
100,1200,rice142,4,1.3,0.10875,
1500,0,rice143,1,1.3,0.08775,
1500,10,rice143,1,1.3,0.09531,
1500,20,rice143,1,1.3,0.10175,
1500,30,rice143,1,1.3,0.10447,
1500,40,rice143,1,1.3,0.10828,
1500,50,rice143,1,1.3,0.11404,
1500,60,rice143,1,1.3,0.12233,
1500,70,rice143,1,1.3,0.14021,
1500,80,rice143,1,1.3,0.15196,
1500,90,rice143,1,1.3,0.1625,
1500,100,rice143,1,1.3,0.1728,
1500,110,rice143,1,1.3,0.17483,
1500,120,rice143,1,1.3,0.18108,
1500,130,rice143,1,1.3,0.19063,
1500,140,rice143,1,1.3,0.19996,
1500,150,rice143,1,1.3,0.20465,
1500,160,rice143,1,1.3,0.20847,
1500,170,rice143,1,1.3,0.21369,
1500,180,rice143,1,1.3,0.21105,
